idx,g0,g1,g2,g3,g4,g5,g6,max_violation,feasible
0,-0.107887,-0.492113,0.000000,-0.127776,-53.625883,-41.157206,-0.482881,0.000000,1
1,-0.107887,-0.492113,0.000000,-0.130975,-52.959286,-41.821243,-0.482692,0.000000,1
2,-0.107887,-0.492113,0.000000,-0.130917,-52.960256,-41.821074,-0.482692,0.000000,1
3,-0.107887,-0.492113,0.000000,-0.127788,-53.626224,-41.156015,-0.482882,0.000000,1
4,-0.107887,-0.492113,0.000000,-0.130320,-52.994270,-41.782845,-0.482693,0.000000,1
5,-0.107887,-0.492113,0.000000,-0.137818,-53.009834,-41.509492,-0.482667,0.000000,1
6,-0.107887,-0.492113,0.000000,-0.136568,-52.439308,-42.344991,-0.482538,0.000000,1
7,-0.107887,-0.492113,0.000000,-0.131838,-52.953615,-41.414060,-0.482554,0.000000,1
8,-0.107822,-0.492178,0.000000,-0.149003,-51.987137,-42.930086,-0.482385,0.000000,1
9,-0.107887,-0.492113,0.000000,-0.134698,-53.454605,-40.801016,-0.482209,0.000000,1
10,-0.107887,-0.492113,0.000000,-0.162892,-50.620882,-44.296303,-0.481983,0.000000,1
11,-0.107887,-0.492113,0.000000,-0.137908,-53.021958,-41.502676,-0.482650,0.000000,1
12,-0.107887,-0.492113,0.000000,-0.194709,-48.097248,-46.358919,-0.480456,0.000000,1
13,-0.107887,-0.492113,0.000000,-0.130225,-53.384640,-41.285944,-0.482837,0.000000,1
14,-0.107887,-0.492113,0.000000,-0.205418,-47.468188,-47.437061,-0.480817,0.000000,1
15,-0.107887,-0.492113,0.000000,-0.131857,-52.992004,-41.426547,-0.482628,0.000000,1
