idx,f0_neg_eff,f1_loss,feasible
0,-0.10788687636968981,7.75688565801866,1
1,-0.10788688895010666,7.826388424253782,1
2,-0.10788688744164521,7.777706601479457,1
3,-0.1078868763638016,7.699155778782675,1
4,-0.10788689830780102,7.938430019161289,1
5,-0.10788690125214541,15.603993595849944,1
6,-0.10788686499596106,7.417249476943833,1
7,-0.10788690127852991,28.597204490929148,1
8,-0.1078216909997051,5.530090420826164,1
9,-0.10788690128513458,53.79966227693714,1
10,-0.10788685813016889,5.979333622337397,1
11,-0.10788690127496642,15.683963503600706,1
12,-0.10788690129631845,71.42685879407665,1
13,-0.1078869010268059,8.222986518800184,1
14,-0.1078869012237695,9.53756994663054,1
15,-0.1078869012784835,25.5393734565477,1
