generation,n_feasible,feasible_fraction,mean_max_violation,median_max_violation,f0_mean,f1_mean,n_pareto
1,4,0.0625,0.43802578241084866,0.3810378434959448,-0.6305906599533206,2456.7492585081004,2
2,15,0.234375,0.11282802374277873,0.10777445959114812,-0.42997009258493923,1230.762116066161,2
3,43,0.671875,-0.026892953685498815,-0.028562274083997308,-0.23409646760810726,1401.6686045254485,3
4,64,1.0,-0.043721964691405574,-0.033688749435127965,-0.23654552929234549,1054.6593746614644,5
5,64,1.0,-0.03457203132907789,-0.022930737649034708,-0.26521400664914474,853.3511440633667,4
6,64,1.0,-0.03277164087496457,-0.0233988632813725,-0.27082511800089076,430.10885007181946,5
7,64,1.0,-0.03258916260985824,-0.01818574570833488,-0.26782025488582645,409.7003651918484,3
8,64,1.0,-0.02927319259989805,-0.018117693063434276,-0.28030421693812346,311.6268509955478,4
9,64,1.0,-0.02388794149957086,-0.017579698633451078,-0.29598894644548723,275.16287124593157,6
10,64,1.0,-0.01999272553705319,-0.014076711520401016,-0.30889865756613266,281.8775043651175,9
11,64,1.0,-0.02270616381242699,-0.016009326106646224,-0.30530491862731596,267.4623162081269,9
12,64,1.0,-0.022737635442677335,-0.012264258489783915,-0.30566847259575164,267.3754020769279,9
13,64,1.0,-0.03001121402255437,-0.013333789509528378,-0.2960662936996269,232.6636986507229,11
14,64,1.0,-0.01813496754939818,-0.006696394245952305,-0.31232082034390396,254.30462776062018,8
15,64,1.0,-0.009203578870077226,-0.0043903667528498915,-0.32479640143127175,268.20296610129583,5
16,64,1.0,-0.01242671425190019,-0.0031860631700230766,-0.32034716169533706,250.19907400013395,3
17,64,1.0,-0.012301900484790747,-0.0028879470230306807,-0.3212501664231619,265.9530108576573,4
18,64,1.0,-0.01257307792997269,-0.0021986948330424724,-0.3219063938455825,246.81791727318227,6
19,64,1.0,-0.00824639457329758,-0.002828553164628769,-0.32882481088599214,224.60493593152307,8
20,64,1.0,-0.008595407521531127,-0.002848092176509773,-0.32890916122844466,203.7970855951953,11
21,64,1.0,-0.007552945137910199,-0.0029600270303166785,-0.33084531252678584,201.37532610216581,8
22,64,1.0,-0.00776966303811123,-0.002988015577530799,-0.32994659318602015,184.9755374210194,8
23,64,1.0,-0.010114189929705869,-0.0029646614275511355,-0.32746348396865493,168.82879288735805,12
24,64,1.0,-0.010305072024988529,-0.0028189671437893063,-0.3281734206532633,156.42510757166474,12
25,64,1.0,-0.010366276120409504,-0.002460128031866625,-0.32835514910376884,163.3504249067575,11
26,64,1.0,-0.012046555610212851,-0.002360582222241784,-0.32621004876907944,167.41783124690258,14
27,64,1.0,-0.014069767823661195,-0.0022707543068012847,-0.32187525142420603,161.19011258489215,19
28,64,1.0,-0.017045115023844676,-0.0021261034371472896,-0.3180354712002508,163.35847164464673,17
29,64,1.0,-0.022491082418865944,-0.0020742134155822298,-0.3106108227410799,171.60816850111402,15
30,64,1.0,-0.023087426286268756,-0.0021239648606561747,-0.3109799491798739,162.88239288646065,14
31,64,1.0,-0.023913077872575607,-0.002125406052002559,-0.30887265183118573,150.34678007469068,17
32,64,1.0,-0.025537990451053892,-0.0023172166773546485,-0.305968161272025,123.62774422912881,16
33,64,1.0,-0.027660789663264133,-0.002736482911695354,-0.30348202594500273,118.02855205768623,17
34,64,1.0,-0.03646707154695184,-0.004318762731092175,-0.29009501098987023,92.64971525146956,12
35,64,1.0,-0.04251811561865849,-0.003017896578607149,-0.28181873544378927,97.41562126856442,10
36,64,1.0,-0.02863068320171828,-0.0017992050202072288,-0.3025757533749419,108.61294475109754,12
37,64,1.0,-0.03241092646410404,-0.0037062569591661916,-0.2962680386891078,82.06708925936307,11
38,64,1.0,-0.03831700381730887,-0.004154900383703411,-0.28879310719028173,78.47418673213784,12
39,64,1.0,-0.032346009090874095,-0.002086684136390003,-0.2979438822273931,79.89027586078741,15
40,64,1.0,-0.025914803112932223,-0.0016180072540987283,-0.30964713798296284,78.53444070720731,16
41,64,1.0,-0.029601866649588603,-0.0037504936176565784,-0.30460033423565513,68.85260604337728,11
42,64,1.0,-0.026730965106092772,-0.0022841104429344957,-0.30854680834583503,73.25977126828867,7
43,64,1.0,-0.023760471008802506,-0.0018460413550958658,-0.3125305512147438,71.68613341750932,9
44,64,1.0,-0.026322461527063436,-0.005894521219825869,-0.30903750935710805,47.98926442761439,8
45,64,1.0,-0.021716903928101675,-0.00327904249486203,-0.3154150351720231,51.85152902068016,6
46,64,1.0,-0.025704834124253527,-0.002846596933123097,-0.3100574214625018,46.76578842359301,7
47,64,1.0,-0.01984678881574156,-0.0026805773841178044,-0.31797197188550197,41.41925560355127,7
48,64,1.0,-0.02414455201931586,-0.006466889806854787,-0.31200952220148725,32.2187520798702,9
49,64,1.0,-0.024330929977456804,-0.005386010681318927,-0.31119620076879406,24.16531847957272,11
50,64,1.0,-0.016201988427505698,-0.0020562188198690614,-0.32224017975214503,24.89599247408796,16
